SKU,台灣價格,美國價格,台灣產品名,美國產品名
MWRT3,80400.0,2299.0,11-inch iPad Pro Wi‑Fi + Cellular 2TB with nano-texture glass - Silver,11-inch iPad Pro Wi‑Fi + Cellular 2TB with nano-texture glass - Silver
MWRY3,77400.0,2199.0,13-inch iPad Pro Wi‑Fi + Cellular 1TB with nano-texture glass - Space Black,13-inch iPad Pro Wi‑Fi + Cellular 1TB with nano-texture glass - Space Black
MWT03,77400.0,2199.0,13-inch iPad Pro Wi‑Fi + Cellular 1TB with nano-texture glass - Silver,13-inch iPad Pro Wi‑Fi + Cellular 1TB with nano-texture glass - Silver
MWT13,91400.0,2599.0,13-inch iPad Pro Wi‑Fi + Cellular 2TB with nano-texture glass - Space Black,13-inch iPad Pro Wi‑Fi + Cellular 2TB with nano-texture glass - Space Black
MWT23,91400.0,2599.0,13-inch iPad Pro Wi‑Fi + Cellular 2TB with nano-texture glass - Silver,13-inch iPad Pro Wi‑Fi + Cellular 2TB with nano-texture glass - Silver
MXN63,16900.0,499.0,iPad mini Wi‑Fi 128GB - Space Gray,iPad mini Wi‑Fi 128GB - Space Gray
MXN73,16900.0,499.0,iPad mini Wi‑Fi 128GB - Blue,iPad mini Wi‑Fi 128GB - Blue
MXN83,16900.0,499.0,iPad mini Wi‑Fi 128GB - Starlight,iPad mini Wi‑Fi 128GB - Starlight
MXN93,16900.0,499.0,iPad mini Wi‑Fi 128GB - Purple,iPad mini Wi‑Fi 128GB - Purple
MXNA3,20400.0,599.0,iPad mini Wi‑Fi 256GB - Space Gray,iPad mini Wi‑Fi 256GB - Space Gray
MXNC3,20400.0,599.0,iPad mini Wi‑Fi 256GB - Blue,iPad mini Wi‑Fi 256GB - Blue
MXND3,20400.0,599.0,iPad mini Wi‑Fi 256GB - Starlight,iPad mini Wi‑Fi 256GB - Starlight
MXNE3,20400.0,599.0,iPad mini Wi‑Fi 256GB - Purple,iPad mini Wi‑Fi 256GB - Purple
MXPN3,21900.0,649.0,iPad mini Wi‑Fi + Cellular 128GB - Space Gray,iPad mini Wi‑Fi + Cellular 128GB - Space Gray
MXPP3,21900.0,649.0,iPad mini Wi‑Fi + Cellular 128GB - Blue,iPad mini Wi‑Fi + Cellular 128GB - Blue
MXPQ3,21900.0,649.0,iPad mini Wi‑Fi + Cellular 128GB - Starlight,iPad mini Wi‑Fi + Cellular 128GB - Starlight
MXPR3,21900.0,649.0,iPad mini Wi‑Fi + Cellular 128GB - Purple,iPad mini Wi‑Fi + Cellular 128GB - Purple
MXPT3,25400.0,749.0,iPad mini Wi‑Fi + Cellular 256GB - Space Gray,iPad mini Wi‑Fi + Cellular 256GB - Space Gray
MXPW3,25400.0,749.0,iPad mini Wi‑Fi + Cellular 256GB - Blue,iPad mini Wi‑Fi + Cellular 256GB - Blue
MXPX3,25400.0,749.0,iPad mini Wi‑Fi + Cellular 256GB - Starlight,iPad mini Wi‑Fi + Cellular 256GB - Starlight
MXPY3,25400.0,749.0,iPad mini Wi‑Fi + Cellular 256GB - Purple,iPad mini Wi‑Fi + Cellular 256GB - Purple
MYGY3,27400.0,799.0,iPad mini Wi‑Fi 512GB - Space Gray,iPad mini Wi‑Fi 512GB - Space Gray
MYH13,27400.0,799.0,iPad mini Wi‑Fi 512GB - Blue,iPad mini Wi‑Fi 512GB - Blue
MYH23,27400.0,799.0,iPad mini Wi‑Fi 512GB - Starlight,iPad mini Wi‑Fi 512GB - Starlight
MYH33,27400.0,799.0,iPad mini Wi‑Fi 512GB - Purple,iPad mini Wi‑Fi 512GB - Purple
MYHC3,32400.0,949.0,iPad mini Wi‑Fi + Cellular 512GB - Space Gray,iPad mini Wi‑Fi + Cellular 512GB - Space Gray
MYHD3,32400.0,949.0,iPad mini Wi‑Fi + Cellular 512GB - Blue,iPad mini Wi‑Fi + Cellular 512GB - Blue
MYHE3,32400.0,949.0,iPad mini Wi‑Fi + Cellular 512GB - Starlight,iPad mini Wi‑Fi + Cellular 512GB - Starlight
MYHF3,32400.0,949.0,iPad mini Wi‑Fi + Cellular 512GB - Purple,iPad mini Wi‑Fi + Cellular 512GB - Purple
